;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:22/03/2021 at 17:10:15
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:03:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:86.80mW             
;Max:87.20mW             
;Average:87.05mW             
;Std.Dev.:73.16uW             
;Overrange:0                   

;Channel B:Statistics
;Min:15.10uW             
;Max:172.7uW             
;Average:38.02uW             
;Std.Dev.:34.67uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 22/03/2021 at 17:10:15.609000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  1.560e-005 	
         0.033	  8.710e-002 	             	
         0.065	             	  1.550e-005 	
         0.097	  8.710e-002 	             	
         0.129	             	  1.540e-005 	
         0.161	  8.710e-002 	             	
         0.193	             	  1.540e-005 	
         0.225	  8.710e-002 	             	
         0.257	             	  1.540e-005 	
         0.289	  8.710e-002 	             	
         0.321	             	  1.540e-005 	
         0.353	  8.710e-002 	             	
         0.385	             	  1.550e-005 	
         0.417	  8.710e-002 	             	
         0.449	             	  1.550e-005 	
         0.513	  8.710e-002 	  1.560e-005 	
         0.577	  8.710e-002 	  1.570e-005 	
         0.641	  8.710e-002 	             	
         0.673	             	  1.580e-005 	
         0.705	  8.710e-002 	             	
         0.737	             	  1.590e-005 	
         0.769	  8.710e-002 	             	
         0.801	             	  1.600e-005 	
         0.832	  8.710e-002 	             	
         0.864	             	  1.620e-005 	
         0.896	  8.710e-002 	             	
         0.928	             	  1.630e-005 	
         0.961	  8.710e-002 	             	
         0.993	             	  1.650e-005 	
         1.025	  8.710e-002 	             	
         1.057	             	  1.670e-005 	
         1.089	  8.710e-002 	             	
         1.121	             	  1.690e-005 	
         1.153	  8.710e-002 	             	
         1.184	             	  1.710e-005 	
         1.217	  8.710e-002 	             	
         1.249	             	  1.740e-005 	
         1.313	  8.710e-002 	  1.760e-005 	
         1.376	  8.710e-002 	  1.770e-005 	
         1.441	  8.710e-002 	             	
         1.473	             	  1.790e-005 	
         1.505	  8.710e-002 	             	
         1.537	             	  1.800e-005 	
         1.569	  8.710e-002 	             	
         1.600	             	  1.810e-005 	
         1.632	  8.700e-002 	             	
         1.665	             	  1.820e-005 	
         1.697	  8.700e-002 	             	
         1.729	             	  1.820e-005 	
         1.761	  8.700e-002 	             	
         1.793	             	  1.820e-005 	
         1.825	  8.700e-002 	             	
         1.857	             	  1.820e-005 	
         1.889	  8.700e-002 	             	
         1.921	             	  1.810e-005 	
         1.953	  8.700e-002 	             	
         1.985	             	  1.800e-005 	
         2.017	  8.700e-002 	             	
         2.049	             	  1.790e-005 	
         2.113	  8.700e-002 	  1.780e-005 	
         2.177	  8.700e-002 	  1.780e-005 	
         2.241	  8.700e-002 	             	
         2.273	             	  1.770e-005 	
         2.305	  8.710e-002 	             	
         2.337	             	  1.760e-005 	
         2.369	  8.710e-002 	             	
         2.400	             	  1.760e-005 	
         2.432	  8.710e-002 	             	
         2.465	             	  1.750e-005 	
         2.497	  8.710e-002 	             	
         2.529	             	  1.750e-005 	
         2.561	  8.710e-002 	             	
         2.593	             	  1.750e-005 	
         2.625	  8.710e-002 	             	
         2.657	             	  1.750e-005 	
         2.689	  8.710e-002 	             	
         2.721	             	  1.750e-005 	
         2.753	  8.710e-002 	             	
         2.785	             	  1.750e-005 	
         2.816	  8.710e-002 	             	
         2.849	             	  1.760e-005 	
         2.913	  8.710e-002 	  1.770e-005 	
         2.976	  8.710e-002 	  1.770e-005 	
         3.041	  8.710e-002 	             	
         3.073	             	  1.780e-005 	
         3.105	  8.710e-002 	             	
         3.137	             	  1.790e-005 	
         3.168	  8.710e-002 	             	
         3.200	             	  1.810e-005 	
         3.233	  8.710e-002 	             	
         3.265	             	  1.830e-005 	
         3.297	  8.710e-002 	             	
         3.329	             	  1.840e-005 	
         3.361	  8.710e-002 	             	
         3.393	             	  1.850e-005 	
         3.425	  8.710e-002 	             	
         3.456	             	  1.860e-005 	
         3.489	  8.710e-002 	             	
         3.521	             	  1.870e-005 	
         3.553	  8.710e-002 	             	
         3.585	             	  1.870e-005 	
         3.617	  8.710e-002 	             	
         3.648	             	  1.870e-005 	
         3.713	  8.710e-002 	  1.870e-005 	
         3.777	  8.710e-002 	  1.870e-005 	
         3.840	  8.710e-002 	             	
         3.872	             	  1.870e-005 	
         3.904	  8.710e-002 	             	
         3.936	             	  1.860e-005 	
         3.969	  8.700e-002 	             	
         4.001	             	  1.850e-005 	
         4.032	  8.700e-002 	             	
         4.066	             	  1.840e-005 	
         4.097	  8.700e-002 	             	
         4.129	             	  1.840e-005 	
         4.161	  8.700e-002 	             	
         4.192	             	  1.840e-005 	
         4.225	  8.700e-002 	             	
         4.256	             	  1.830e-005 	
         4.289	  8.700e-002 	             	
         4.321	             	  1.830e-005 	
         4.353	  8.700e-002 	             	
         4.384	             	  1.820e-005 	
         4.417	  8.700e-002 	             	
         4.449	             	  1.810e-005 	
         4.513	  8.700e-002 	  1.800e-005 	
         4.576	  8.700e-002 	  1.780e-005 	
         4.641	  8.700e-002 	             	
         4.673	             	  1.750e-005 	
         4.705	  8.700e-002 	             	
         4.737	             	  1.730e-005 	
         4.769	  8.700e-002 	             	
         4.801	             	  1.700e-005 	
         4.832	  8.710e-002 	             	
         4.865	             	  1.680e-005 	
         4.897	  8.710e-002 	             	
         4.929	             	  1.650e-005 	
         4.961	  8.710e-002 	             	
         4.993	             	  1.630e-005 	
         5.024	  8.710e-002 	             	
         5.057	             	  1.610e-005 	
         5.089	  8.710e-002 	             	
         5.121	             	  1.590e-005 	
         5.153	  8.710e-002 	             	
         5.185	             	  1.580e-005 	
         5.216	  8.710e-002 	             	
         5.249	             	  1.580e-005 	
         5.313	  8.710e-002 	  1.580e-005 	
