;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:22/03/2021 at 16:10:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:03:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:82.70mW             
;Max:83.10mW             
;Average:82.91mW             
;Std.Dev.:71.35uW             
;Overrange:0                   

;Channel B:Statistics
;Min:34.50uW             
;Max:981.0uW             
;Average:159.6uW             
;Std.Dev.:190.4uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 22/03/2021 at 16:10:48.377000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  8.290e-002 	             	
         0.032	             	  6.630e-005 	
         0.063	  8.290e-002 	             	
         0.095	             	  6.630e-005 	
         0.127	  8.290e-002 	             	
         0.159	             	  6.640e-005 	
         0.191	  8.290e-002 	             	
         0.223	             	  6.640e-005 	
         0.255	  8.290e-002 	             	
         0.288	             	  6.650e-005 	
         0.320	  8.290e-002 	             	
         0.351	             	  6.650e-005 	
         0.415	  8.290e-002 	  6.650e-005 	
         0.479	  8.290e-002 	  6.660e-005 	
         0.544	  8.290e-002 	  6.660e-005 	
         0.607	  8.290e-002 	  6.660e-005 	
         0.672	  8.290e-002 	  6.660e-005 	
         0.735	  8.290e-002 	  6.660e-005 	
         0.800	  8.290e-002 	             	
         0.831	             	  6.660e-005 	
         0.863	  8.290e-002 	             	
         0.895	             	  6.670e-005 	
         0.928	  8.290e-002 	             	
         0.960	             	  6.680e-005 	
         0.992	  8.290e-002 	             	
         1.023	             	  6.690e-005 	
         1.055	  8.290e-002 	             	
         1.087	             	  6.680e-005 	
         1.119	  8.290e-002 	             	
         1.151	             	  6.680e-005 	
         1.215	  8.290e-002 	  6.670e-005 	
         1.280	  8.290e-002 	  6.660e-005 	
         1.343	  8.290e-002 	  6.670e-005 	
         1.407	  8.300e-002 	  6.670e-005 	
         1.471	  8.300e-002 	  6.680e-005 	
         1.535	  8.300e-002 	  6.700e-005 	
         1.599	  8.300e-002 	             	
         1.631	             	  6.720e-005 	
         1.663	  8.300e-002 	             	
         1.695	             	  6.730e-005 	
         1.727	  8.300e-002 	             	
         1.759	             	  6.760e-005 	
         1.791	  8.300e-002 	             	
         1.823	             	  6.780e-005 	
         1.855	  8.300e-002 	             	
         1.887	             	  6.800e-005 	
         1.919	  8.300e-002 	             	
         1.951	             	  6.820e-005 	
         2.015	  8.300e-002 	  6.840e-005 	
         2.079	  8.300e-002 	  6.860e-005 	
         2.143	  8.300e-002 	  6.880e-005 	
         2.207	  8.290e-002 	  6.890e-005 	
         2.272	  8.290e-002 	  6.900e-005 	
         2.335	  8.290e-002 	  6.910e-005 	
         2.399	  8.290e-002 	             	
         2.432	             	  6.910e-005 	
         2.463	  8.290e-002 	             	
         2.495	             	  6.920e-005 	
         2.527	  8.290e-002 	             	
         2.560	             	  6.910e-005 	
         2.591	  8.280e-002 	             	
         2.623	             	  6.910e-005 	
         2.655	  8.280e-002 	             	
         2.687	             	  6.910e-005 	
         2.720	  8.280e-002 	             	
         2.751	             	  6.900e-005 	
         2.816	  8.280e-002 	  6.880e-005 	
         2.879	  8.280e-002 	  6.860e-005 	
         2.943	  8.280e-002 	  6.840e-005 	
         3.007	  8.280e-002 	  6.830e-005 	
         3.071	  8.280e-002 	  6.820e-005 	
         3.136	  8.280e-002 	  6.820e-005 	
         3.199	  8.280e-002 	             	
         3.231	             	  6.810e-005 	
         3.263	  8.280e-002 	             	
         3.295	             	  6.810e-005 	
         3.327	  8.280e-002 	             	
         3.359	             	  6.810e-005 	
         3.391	  8.290e-002 	             	
         3.423	             	  6.800e-005 	
         3.455	  8.290e-002 	             	
         3.488	             	  6.800e-005 	
         3.519	  8.290e-002 	             	
         3.551	             	  6.810e-005 	
         3.615	  8.290e-002 	  6.810e-005 	
         3.679	  8.290e-002 	  6.810e-005 	
         3.744	  8.290e-002 	  6.810e-005 	
         3.807	  8.290e-002 	  6.810e-005 	
         3.871	  8.290e-002 	  6.810e-005 	
         3.935	  8.290e-002 	  6.820e-005 	
         3.999	  8.290e-002 	             	
         4.032	             	  6.820e-005 	
         4.063	  8.290e-002 	             	
         4.095	             	  6.830e-005 	
         4.127	  8.290e-002 	             	
         4.160	             	  6.830e-005 	
         4.192	  8.290e-002 	             	
         4.224	             	  6.840e-005 	
         4.256	  8.290e-002 	             	
         4.287	             	  6.840e-005 	
         4.319	  8.290e-002 	             	
         4.351	             	  6.850e-005 	
         4.415	  8.290e-002 	  6.850e-005 	
         4.479	  8.290e-002 	  6.860e-005 	
         4.544	  8.290e-002 	  6.860e-005 	
         4.608	  8.290e-002 	  6.870e-005 	
         4.671	  8.290e-002 	  6.880e-005 	
         4.735	  8.290e-002 	  6.900e-005 	
         4.799	  8.290e-002 	             	
         4.831	             	  6.910e-005 	
         4.863	  8.290e-002 	             	
         4.895	             	  6.910e-005 	
         4.928	  8.290e-002 	             	
         4.960	             	  6.910e-005 	
         4.992	  8.290e-002 	             	
         5.024	             	  6.920e-005 	
         5.055	  8.290e-002 	             	
         5.087	             	  6.920e-005 	
         5.119	  8.290e-002 	             	
