;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:19/03/2021 at 16:20:27
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:81.60mW             
;Max:81.90mW             
;Average:81.73mW             
;Std.Dev.:72.39uW             
;Overrange:0                   

;Channel B:Statistics
;Min:5.650mW             
;Max:6.060mW             
;Average:5.997mW             
;Std.Dev.:86.05uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 19/03/2021 at 16:20:28.038000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  6.030e-003 	
         0.032	  8.180e-002 	             	
         0.063	             	  6.020e-003 	
         0.096	  8.180e-002 	             	
         0.128	             	  6.020e-003 	
         0.192	  8.180e-002 	  6.020e-003 	
         0.255	  8.170e-002 	  6.020e-003 	
         0.320	  8.170e-002 	  6.020e-003 	
         0.383	  8.170e-002 	  6.020e-003 	
         0.447	  8.170e-002 	             	
         0.448	             	  6.020e-003 	
         0.512	  8.170e-002 	  6.020e-003 	
         0.576	  8.170e-002 	  6.020e-003 	
         0.640	  8.170e-002 	  6.020e-003 	
         0.703	  8.170e-002 	             	
         0.736	             	  6.020e-003 	
         0.768	  8.170e-002 	             	
         0.800	             	  6.020e-003 	
         0.832	  8.170e-002 	             	
         0.864	             	  6.020e-003 	
         0.896	  8.170e-002 	             	
         0.928	             	  6.020e-003 	
         0.992	  8.170e-002 	  6.020e-003 	
         1.056	  8.170e-002 	  6.020e-003 	
         1.120	  8.170e-002 	  6.020e-003 	
         1.184	  8.170e-002 	  6.020e-003 	
         1.248	  8.170e-002 	  6.020e-003 	
         1.311	  8.170e-002 	  6.020e-003 	
         1.376	  8.170e-002 	  6.020e-003 	
         1.440	  8.170e-002 	  6.020e-003 	
         1.503	  8.170e-002 	             	
         1.535	             	  6.020e-003 	
         1.568	  8.170e-002 	             	
         1.600	             	  6.020e-003 	
         1.632	  8.170e-002 	             	
         1.664	             	  6.020e-003 	
         1.696	  8.170e-002 	             	
         1.728	             	  6.020e-003 	
         1.792	  8.170e-002 	  6.020e-003 	
         1.855	  8.170e-002 	  6.020e-003 	
         1.920	  8.170e-002 	  6.020e-003 	
         1.983	  8.170e-002 	  6.020e-003 	
         2.048	  8.170e-002 	  6.020e-003 	
         2.112	  8.170e-002 	  6.020e-003 	
         2.176	  8.170e-002 	  6.020e-003 	
         2.239	  8.170e-002 	  6.020e-003 	
         2.304	  8.170e-002 	             	
         2.336	             	  6.020e-003 	
         2.368	  8.170e-002 	             	
         2.400	             	  6.020e-003 	
         2.431	  8.170e-002 	             	
         2.464	             	  6.020e-003 	
         2.495	  8.170e-002 	             	
         2.528	             	  6.020e-003 	
         2.592	  8.170e-002 	  6.020e-003 	
         2.656	  8.170e-002 	  6.020e-003 	
         2.720	  8.170e-002 	  6.020e-003 	
         2.784	  8.160e-002 	  6.010e-003 	
         2.848	  8.160e-002 	  6.010e-003 	
         2.911	  8.160e-002 	  6.010e-003 	
         2.976	  8.160e-002 	  6.010e-003 	
         3.040	  8.160e-002 	  6.010e-003 	
         3.104	  8.160e-002 	             	
         3.136	             	  6.010e-003 	
         3.167	  8.160e-002 	             	
         3.200	             	  6.010e-003 	
         3.231	  8.170e-002 	             	
         3.264	             	  6.020e-003 	
         3.295	  8.170e-002 	             	
         3.328	             	  6.020e-003 	
         3.391	  8.170e-002 	  6.020e-003 	
         3.456	  8.170e-002 	  6.020e-003 	
         3.520	  8.170e-002 	  6.020e-003 	
         3.583	  8.170e-002 	  6.020e-003 	
         3.648	  8.170e-002 	  6.020e-003 	
         3.712	  8.170e-002 	  6.020e-003 	
         3.776	  8.170e-002 	  6.020e-003 	
         3.840	  8.170e-002 	  6.020e-003 	
         3.904	  8.170e-002 	             	
         3.935	             	  6.020e-003 	
         3.968	  8.170e-002 	             	
         4.000	             	  6.020e-003 	
         4.031	  8.170e-002 	             	
         4.064	             	  6.020e-003 	
         4.096	  8.170e-002 	             	
         4.128	             	  6.020e-003 	
         4.192	  8.170e-002 	  6.020e-003 	
         4.255	  8.170e-002 	  6.020e-003 	
         4.320	  8.170e-002 	  6.020e-003 	
         4.383	  8.170e-002 	  6.020e-003 	
         4.448	  8.170e-002 	  6.020e-003 	
         4.511	  8.170e-002 	  6.020e-003 	
