;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:23/03/2021 at 11:22:39
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:86.60mW             
;Max:87.00mW             
;Average:86.77mW             
;Std.Dev.:76.03uW             
;Overrange:0                   

;Channel B:Statistics
;Min:31.70uW             
;Max:57.00uW             
;Average:53.18uW             
;Std.Dev.:4.039uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 23/03/2021 at 11:22:39.281000
  Timestamp   	  Channel A  	  Channel B  	
         5.280	  8.680e-002 	             	
         5.312	             	  5.320e-005 	
         5.344	  8.680e-002 	             	
         5.376	             	  5.320e-005 	
         5.408	  8.680e-002 	             	
         5.440	             	  5.320e-005 	
         5.472	  8.680e-002 	             	
         5.504	             	  5.320e-005 	
         5.536	  8.680e-002 	             	
         5.568	             	  5.300e-005 	
         5.600	  8.680e-002 	             	
         5.664	  8.680e-002 	  5.290e-005 	
         5.728	  8.680e-002 	  5.270e-005 	
         5.792	             	  5.260e-005 	
         5.825	  8.680e-002 	             	
         5.856	             	  5.240e-005 	
         5.888	  8.680e-002 	             	
         5.920	             	  5.220e-005 	
         5.952	  8.680e-002 	             	
         5.984	             	  5.200e-005 	
         6.016	  8.680e-002 	             	
         6.048	             	  5.180e-005 	
         6.081	  8.680e-002 	             	
         6.112	             	  5.160e-005 	
         6.144	  8.680e-002 	             	
         6.176	             	  5.130e-005 	
         6.208	  8.680e-002 	             	
         6.240	             	  5.110e-005 	
         6.272	  8.680e-002 	             	
         6.304	             	  5.090e-005 	
         6.337	  8.680e-002 	             	
         6.368	             	  5.070e-005 	
         6.400	  8.680e-002 	             	
         6.464	  8.680e-002 	  5.050e-005 	
         6.528	  8.680e-002 	  5.020e-005 	
         6.592	             	  4.970e-005 	
         6.624	  8.680e-002 	             	
         6.656	             	  4.880e-005 	
         6.688	  8.680e-002 	             	
         6.720	             	  4.740e-005 	
         6.752	  8.680e-002 	             	
         6.784	             	  4.560e-005 	
         6.816	  8.680e-002 	             	
         6.849	             	  4.340e-005 	
         6.880	  8.680e-002 	             	
         6.912	             	  4.110e-005 	
         6.944	  8.680e-002 	             	
         6.976	             	  3.890e-005 	
         7.009	  8.680e-002 	             	
         7.040	             	  3.680e-005 	
         7.072	  8.680e-002 	             	
         7.104	             	  3.500e-005 	
         7.136	  8.680e-002 	             	
         7.168	             	  3.360e-005 	
         7.200	  8.680e-002 	             	
         7.265	  8.680e-002 	  3.260e-005 	
         7.328	  8.680e-002 	  3.200e-005 	
         7.392	             	  3.170e-005 	
         7.424	  8.680e-002 	             	
         7.456	             	  3.190e-005 	
         7.488	  8.680e-002 	             	
         7.520	             	  3.230e-005 	
         7.552	  8.680e-002 	             	
         7.584	             	  3.300e-005 	
         7.616	  8.680e-002 	             	
         7.648	             	  3.390e-005 	
