Timestamp,ChannelA,ChannelB,Length,Transmittance
0.064,  8.680e-002 ,5.27e-05,-6.781458966565349,0.990975819480684
0.128,             ,5.28e-05,-6.762917933130699,0.9928562290053153
0.192,             ,5.29e-05,-6.744376899696048,0.9947366385299465
0.256,             ,5.29e-05,-6.725835866261398,0.9947366385299465
0.32,             ,5.3e-05,-6.707294832826747,0.9966170480545778
0.384,             ,5.3e-05,-6.688753799392097,0.9966170480545778
0.44799999999999995,             ,5.3e-05,-6.670212765957447,0.9966170480545778
0.512,             ,5.29e-05,-6.6516717325227965,0.9947366385299465
0.5760000000000001,             ,5.29e-05,-6.633130699088146,0.9947366385299465
0.64,             ,5.28e-05,-6.6145896656534955,0.9928562290053153
0.7040000000000001,             ,5.28e-05,-6.596048632218845,0.9928562290053153
0.768,             ,5.27e-05,-6.577507598784194,0.990975819480684
0.8640000000000001,  8.680e-002 ,5.26e-05,-6.549696048632218,0.9890954099560527
0.9279999999999999,             ,5.25e-05,-6.531155015197569,0.9872150004314215
0.992,             ,5.25e-05,-6.512613981762918,0.9872150004314215
1.056,             ,5.24e-05,-6.4940729483282675,0.9853345909067902
1.12,             ,5.24e-05,-6.475531914893617,0.9853345909067902
1.1840000000000002,             ,5.24e-05,-6.4569908814589665,0.9853345909067902
1.248,             ,5.23e-05,-6.438449848024316,0.9834541813821589
1.3119999999999998,             ,5.23e-05,-6.4199088145896654,0.9834541813821589
1.376,             ,5.24e-05,-6.401367781155015,0.9853345909067902
1.44,             ,5.24e-05,-6.382826747720364,0.9853345909067902
1.504,             ,5.24e-05,-6.364285714285714,0.9853345909067902
1.568,             ,5.24e-05,-6.345744680851063,0.9853345909067902
1.6640000000000001,  8.680e-002 ,5.24e-05,-6.317933130699088,0.9853345909067902
1.7280000000000002,  8.680e-002 ,5.23e-05,-6.2993920972644375,0.9834541813821589
1.7919999999999998,             ,5.23e-05,-6.280851063829787,0.9834541813821589
1.8559999999999999,             ,5.22e-05,-6.2623100303951365,0.9815737718575277
1.92,             ,5.21e-05,-6.243768996960486,0.9796933623328963
1.984,             ,5.21e-05,-6.225227963525835,0.9796933623328963
2.048,             ,5.2e-05,-6.206686930091185,0.977812952808265
2.112,             ,5.2e-05,-6.188145896656534,0.977812952808265
2.176,             ,5.21e-05,-6.169604863221884,0.9796933623328963
2.24,             ,5.21e-05,-6.151063829787233,0.9796933623328963
2.3040000000000003,             ,5.22e-05,-6.132522796352584,0.9815737718575277
2.3680000000000003,             ,5.23e-05,-6.113981762917932,0.9834541813821589
2.464,  8.680e-002 ,5.24e-05,-6.086170212765957,0.9853345909067902
2.528,  8.680e-002 ,5.24e-05,-6.067629179331306,0.9853345909067902
2.592,             ,5.25e-05,-6.049088145896656,0.9872150004314215
2.656,             ,5.26e-05,-6.030547112462006,0.9890954099560527
2.72,             ,5.27e-05,-6.012006079027355,0.990975819480684
2.784,             ,5.28e-05,-5.993465045592705,0.9928562290053153
2.8480000000000003,             ,5.29e-05,-5.974924012158055,0.9947366385299465
2.912,             ,5.3e-05,-5.956382978723404,0.9966170480545778
2.9760000000000004,             ,5.3e-05,-5.937841945288754,0.9966170480545778
3.0410000000000004,             ,5.3e-05,-5.919011208206687,0.9966170480545778
3.1039999999999996,             ,5.31e-05,-5.900759878419453,0.9984974575792092
3.168,             ,5.31e-05,-5.882218844984802,0.9984974575792092
3.264,  8.670e-002 ,5.3e-05,-5.854407294832827,0.9966170480545778
3.3280000000000003,  8.670e-002 ,5.3e-05,-5.835866261398176,0.9966170480545778
3.392,             ,5.3e-05,-5.817325227963526,0.9966170480545778
3.4560000000000004,             ,5.3e-05,-5.798784194528875,0.9966170480545778
3.52,             ,5.3e-05,-5.780243161094225,0.9966170480545778
3.5839999999999996,             ,5.29e-05,-5.761702127659574,0.9947366385299465
3.648,             ,5.29e-05,-5.743161094224924,0.9947366385299465
3.7119999999999997,             ,5.28e-05,-5.724620060790273,0.9928562290053153
3.7760000000000002,             ,5.28e-05,-5.706079027355623,0.9928562290053153
3.841,             ,5.29e-05,-5.687248290273556,0.9947366385299465
3.904,             ,5.29e-05,-5.6689969604863215,0.9947366385299465
3.968,             ,5.3e-05,-5.650455927051672,0.9966170480545778
4.064,             ,5.31e-05,-5.622644376899696,0.9984974575792092
4.128,  8.680e-002 ,5.31e-05,-5.604103343465045,0.9984974575792092
4.192,             ,5.32e-05,-5.585562310030395,1.0003778671038404
4.256,             ,5.32e-05,-5.567021276595744,1.0003778671038404
4.32,             ,5.33e-05,-5.548480243161094,1.0022582766284718
4.385,             ,5.33e-05,-5.529649506079027,1.0022582766284718
4.449,             ,5.33e-05,-5.511108472644377,1.0022582766284718
4.512,             ,5.33e-05,-5.492857142857143,1.0022582766284718
4.577,             ,5.33e-05,-5.474026405775076,1.0022582766284718
4.64,             ,5.33e-05,-5.455775075987842,1.0022582766284718
4.704,             ,5.33e-05,-5.437234042553191,1.0022582766284718
4.768,             ,5.33e-05,-5.418693009118541,1.0022582766284718
4.864,  8.680e-002 ,5.33e-05,-5.390881458966565,1.0022582766284718
4.928,  8.680e-002 ,5.33e-05,-5.372340425531915,1.0022582766284718
4.992,             ,5.33e-05,-5.3537993920972635,1.0022582766284718
5.056,             ,5.33e-05,-5.335258358662614,1.0022582766284718
5.121,             ,5.33e-05,-5.316427621580546,1.0022582766284718
5.184,             ,5.33e-05,-5.298176291793313,1.0022582766284718
5.247999999999999,             ,5.32e-05,-5.279635258358662,1.0003778671038404
5.312,             ,5.32e-05,-5.261094224924012,1.0003778671038404
