Timestamp,ChannelA,ChannelB,Length,Transmittance
0.0,             ,0.0001597,-6.19298203764223,1.1156129933636045
0.065,             ,0.0001604,-6.1740655041625905,1.1205029689137267
0.16,  8.600e-002 ,0.0001612,-6.146418262923116,1.1260915123995807
0.22399999999999998,  8.600e-002 ,0.0001621,-6.12779275303547,1.1323786238211666
0.28800000000000003,  8.600e-002 ,0.0001629,-6.109167243147824,1.1379671673070206
0.35200000000000004,  8.610e-002 ,0.00016380000000000002,-6.090541733260179,1.1442542787286065
0.41600000000000004,  8.610e-002 ,0.0001646,-6.071916223372533,1.14984282221446
0.48,             ,0.0001654,-6.053290713484887,1.1554313657003144
0.544,             ,0.0001663,-6.034665203597241,1.1617184771219
0.608,             ,0.0001671,-6.016039693709596,1.167307020607754
0.672,             ,0.0001678,-5.99741418382195,1.1721969961578764
0.736,             ,0.0001685,-5.978788673934304,1.1770869717079986
0.8,             ,0.0001691,-5.960163164046658,1.1812783793223889
0.8640000000000001,             ,0.0001698,-5.941537654159012,1.1861683548725113
0.9279999999999999,             ,0.00017030000000000002,-5.922912144271367,1.1896611945511701
1.024,  8.610e-002 ,0.0001709,-5.894973879439897,1.1938526021655607
1.088,  8.610e-002 ,0.0001714,-5.876348369552252,1.1973454418442193
1.1520000000000001,  8.610e-002 ,0.00017180000000000003,-5.857722859664606,1.2001397135871466
1.216,  8.610e-002 ,0.000172,-5.83909734977696,1.2015368494586098
1.28,             ,0.00017209999999999998,-5.820471839889314,1.2022354173943415
1.344,             ,0.00017219999999999998,-5.801846330001668,1.2029339853300731
1.4080000000000001,             ,0.00017219999999999998,-5.783220820114023,1.2029339853300731
1.472,             ,0.00017219999999999998,-5.764595310226377,1.2029339853300731
1.536,             ,0.00017219999999999998,-5.745969800338731,1.2029339853300731
1.6,             ,0.00017230000000000001,-5.727344290451085,1.2036325532658052
1.6640000000000001,             ,0.00017250000000000002,-5.70871878056344,1.2050296891372687
1.7280000000000002,             ,0.00017280000000000003,-5.690093270675794,1.2071253929444639
1.825,  8.590e-002 ,0.00017309999999999998,-5.6618639822523305,1.2092210967516588
1.8880000000000001,  8.590e-002 ,0.00017339999999999999,-5.643529495956679,1.2113168005588542
1.952,  8.590e-002 ,0.0001737,-5.624903986069033,1.2134125043660495
2.017,  8.590e-002 ,0.000174,-5.605987452589393,1.2155082081732447
2.08,             ,0.00017409999999999998,-5.587652966293742,1.2162067761089763
2.144,             ,0.0001742,-5.569027456406096,1.2169053440447084
2.208,             ,0.00017409999999999998,-5.55040194651845,1.2162067761089763
2.272,             ,0.00017380000000000002,-5.531776436630804,1.2141110723017814
2.336,             ,0.00017350000000000002,-5.513150926743158,1.212015368494586
2.4,             ,0.0001732,-5.494525416855513,1.2099196646873909
2.464,             ,0.00017309999999999998,-5.475899906967867,1.2092210967516588
2.528,             ,0.0001732,-5.457274397080221,1.2099196646873909
2.6239999999999997,  8.590e-002 ,0.00017339999999999999,-5.4293361322487526,1.2113168005588542
2.688,  8.590e-002 ,0.00017380000000000002,-5.410710622361107,1.2141110723017814
2.752,  8.590e-002 ,0.0001743,-5.392085112473461,1.21760391198044
2.8160000000000003,  8.600e-002 ,0.00017490000000000002,-5.373459602585815,1.2217953195948306
2.88,             ,0.0001756,-5.3548340926981695,1.226685295144953
2.944,             ,0.0001764,-5.3362085828105235,1.2322738386308068
3.008,             ,0.0001773,-5.3175830729228775,1.2385609500523924
3.072,             ,0.00017830000000000002,-5.2989575630352315,1.2455466294097102
3.136,             ,0.0001794,-5.2803320531475855,1.2532308767027591
3.201,             ,0.0001806,-5.2614155196679455,1.2616136919315402
3.265,             ,0.0001819,-5.2427900097802995,1.270695075096053
3.3280000000000003,             ,0.0001833,-5.224455523484648,1.2804750261962976
3.425,  8.590e-002 ,0.0001847,-5.196226235061186,1.290254977296542
3.488,  8.580e-002 ,0.00018600000000000002,-5.177891748765534,1.2993363604610548
3.552,  8.590e-002 ,0.0001874,-5.159266238877889,1.3091163115612992
3.617,  8.590e-002 ,0.00018859999999999998,-5.140349705398248,1.3174991267900802
3.68,             ,0.00018969999999999998,-5.122015219102597,1.3251833740831294
3.7439999999999998,             ,0.0001906,-5.103389709214951,1.3314704855047153
3.8080000000000003,             ,0.00019140000000000002,-5.084764199327305,1.3370590289905693
3.872,             ,0.000192,-5.06613868943966,1.3412504366049598
3.9360000000000004,             ,0.0001926,-5.047513179552014,1.34544184421935
4.0,             ,0.0001933,-5.028887669664368,1.3503318197694725
4.064,             ,0.000194,-5.010262159776722,1.3552217953195946
4.129,             ,0.00019480000000000002,-4.991345626297082,1.3608103388054489
4.224,  8.590e-002 ,0.00019559999999999998,-4.963698385057607,1.3663988822913027
4.288,  8.590e-002 ,0.0001964,-4.945072875169961,1.3719874257771567
4.352,  8.590e-002 ,0.0001972,-4.926447365282316,1.3775759692630107
4.417,  8.590e-002 ,0.0001979,-4.907530831802676,1.3824659448131331
4.48,             ,0.0001985,-4.889196345507024,1.3866573524275234
4.544,             ,0.0001989,-4.870570835619379,1.3894516241704506
4.6080000000000005,             ,0.0001994,-4.851945325731732,1.392944463849109
4.672,             ,0.0001999,-4.833319815844087,1.396437303527768
4.736000000000001,             ,0.0002004,-4.814694305956441,1.3999301432064266
4.801,             ,0.00020099999999999998,-4.7957777724768,1.4041215508208171
4.864,             ,0.00020180000000000003,-4.77744328618115,1.4097100943066714
4.928,             ,0.0002029,-4.758817776293504,1.4173943415997206
5.024,  8.590e-002 ,0.0002041,-4.730879511462035,1.4257771568285014
5.088,  8.590e-002 ,0.0002055,-4.712254001574389,1.4355571079287461
5.152,  8.590e-002 ,0.0002069,-4.693628491686743,1.4453370590289905
5.216,  8.590e-002 ,0.0002085,-4.675002981799097,1.4565141460006985
5.28,             ,0.0002102,-4.656377471911451,1.4683898009081382
5.343999999999999,             ,0.000212,-4.637751962023806,1.4809640237513098
5.409,             ,0.00021390000000000002,-4.618835428544165,1.4942368145302132
5.472,             ,0.00021590000000000002,-4.600500942248514,1.508208173244848
5.5360000000000005,             ,0.00021790000000000004,-4.581875432360868,1.5221795319594833
5.601,             ,0.00021989999999999998,-4.562958898881228,1.5361508906741177
5.665,             ,0.00022200000000000003,-4.544333388993582,1.5508208173244848
5.728,             ,0.00022400000000000002,-4.525998902697931,1.56479217603912
5.824,  8.580e-002 ,0.000226,-4.4980606378664625,1.5787635347537545
5.888,  8.570e-002 ,0.00022799999999999999,-4.4794351279788165,1.5927348934683896
5.952000000000001,  8.570e-002 ,0.00022999999999999998,-4.4608096180911705,1.6067062521830247
